StartTime,StopTime,IGRF_CGM_LAT1,IGRF_CGM_LON1,IGRF_BRATIO1,IGRF_BANGLE1,IGRF_CGM_LAT2,IGRF_CGM_LON2,IGRF_BRATIO2,IGRF_BANGLE2,IGRF_CGM_LAT3,IGRF_CGM_LON3,IGRF_BRATIO3,IGRF_BANGLE3,T89_CGM_LAT1,T89_CGM_LON1,T89_BRATIO1,T89_BANGLE1,T89_CGM_LAT2,T89_CGM_LON2,T89_BRATIO2,T89_BANGLE2,T89_CGM_LAT3,T89_CGM_LON3,T89_BRATIO3,T89_BANGLE3,SAT
2013-04-11 08:00:13,2013-04-11 08:59:55,66.443834,-42.220852,0.96283719,7.564218,66.036512,-44.378738,0.96927244,6.3123998,65.36285,-45.94117,0.9825116,5.8266692,66.443834,-42.220852,1.0415246,4.1986871,66.036512,-44.378738,1.0377164,4.3392235,65.36285,-45.94117,1.041309,3.2177388,RBSPA
2013-04-22 04:00:03,2013-04-22 04:59:45,67.119892,9.8150616,0.90482899,13.484204,66.948473,7.5142083,0.93158232,9.2449091,66.55642,5.6146975,0.95547459,7.2615873,67.119892,9.8150616,0.92930591,2.9725584,66.948473,7.5142083,0.94969145,6.1308284,66.55642,5.6146975,0.97244399,6.4849673,RBSPA
2013-04-22 04:00:03,2013-04-22 04:59:45,67.119892,9.8150616,0.90482899,13.484204,66.948473,7.5142083,0.93158232,9.2449091,66.55642,5.6146975,0.95547459,7.2615873,67.119892,9.8150616,0.92930591,2.9725584,66.948473,7.5142083,0.94969145,6.1308284,66.55642,5.6146975,0.97244399,6.4849673,RBSPA
2013-04-23 11:00:03,2013-04-23 11:59:45,67.372191,-31.778391,0.93292714,5.5958229,68.556584,-35.145451,0.86160698,7.4898687,69.448774,-39.046936,0.82302713,9.3026414,67.372191,-31.778391,1.1069971,2.2416571,68.556584,-35.145451,1.0307459,2.1765014,69.448774,-39.046936,0.97718786,3.3126082,THEMISE
2013-04-23 11:00:03,2013-04-23 11:59:45,67.372191,-31.778391,0.93292714,5.5958229,68.556584,-35.145451,0.86160698,7.4898687,69.448774,-39.046936,0.82302713,9.3026414,67.372191,-31.778391,1.1069971,2.2416571,68.556584,-35.145451,1.0307459,2.1765014,69.448774,-39.046936,0.97718786,3.3126082,THEMISE
2013-05-04 07:00:02,2013-05-04 07:59:44,66.039139,-58.509762,0.88851247,11.538579,66.419845,-60.846909,0.88727286,13.38941,66.563427,-63.254375,0.9036712,14.900041,66.039139,-58.509762,0.97610118,1.3459473,66.419845,-60.846909,0.96906551,1.7107979,66.563427,-63.254375,0.98103654,2.6371565,RBSPB
2013-05-04 07:00:02,2013-05-04 07:59:44,66.039139,-58.509762,0.88851247,11.538579,66.419845,-60.846909,0.88727286,13.38941,66.563427,-63.254375,0.9036712,14.900041,66.039139,-58.509762,0.97610118,1.3459473,66.419845,-60.846909,0.96906551,1.7107979,66.563427,-63.254375,0.98103654,2.6371565,RBSPB
2013-05-04 07:00:02,2013-05-04 07:59:44,66.039139,-58.509762,0.88851247,11.538579,66.419845,-60.846909,0.88727286,13.38941,66.563427,-63.254375,0.9036712,14.900041,66.039139,-58.509762,0.97610118,1.3459473,66.419845,-60.846909,0.96906551,1.7107979,66.563427,-63.254375,0.98103654,2.6371565,RBSPB
2013-05-04 07:00:02,2013-05-04 07:59:44,66.039139,-58.509762,0.88851247,11.538579,66.419845,-60.846909,0.88727286,13.38941,66.563427,-63.254375,0.9036712,14.900041,66.039139,-58.509762,0.97610118,1.3459473,66.419845,-60.846909,0.96906551,1.7107979,66.563427,-63.254375,0.98103654,2.6371565,RBSPB
2013-05-04 08:00:02,2013-05-04 08:59:44,66.564526,-63.337948,0.90397366,15.10476,66.482305,-65.802132,0.88958577,14.906603,66.16021,-67.990211,0.90649126,11.231562,66.564526,-63.337948,0.98116884,2.8172493,66.482305,-65.802132,0.96019692,3.801566,66.16021,-67.990211,0.97376094,0.59891905,RBSPB
2013-05-04 08:00:02,2013-05-04 08:59:44,66.564526,-63.337948,0.90397366,15.10476,66.482305,-65.802132,0.88958577,14.906603,66.16021,-67.990211,0.90649126,11.231562,66.564526,-63.337948,0.98116884,2.8172493,66.482305,-65.802132,0.96019692,3.801566,66.16021,-67.990211,0.97376094,0.59891905,RBSPB
2013-05-04 07:00:02,2013-05-04 07:59:44,66.039139,-58.509762,0.88851247,11.538579,66.419845,-60.846909,0.88727286,13.38941,66.563427,-63.254375,0.9036712,14.900041,66.039139,-58.509762,0.97610118,1.3459473,66.419845,-60.846909,0.96906551,1.7107979,66.563427,-63.254375,0.98103654,2.6371565,RBSPB
2013-05-04 07:00:02,2013-05-04 07:59:44,66.039139,-58.509762,0.88851247,11.538579,66.419845,-60.846909,0.88727286,13.38941,66.563427,-63.254375,0.9036712,14.900041,66.039139,-58.509762,0.97610118,1.3459473,66.419845,-60.846909,0.96906551,1.7107979,66.563427,-63.254375,0.98103654,2.6371565,RBSPB
2013-05-04 08:00:02,2013-05-04 08:59:44,66.564526,-63.337948,0.90397366,15.10476,66.482305,-65.802132,0.88958577,14.906603,66.16021,-67.990211,0.90649126,11.231562,66.564526,-63.337948,0.98116884,2.8172493,66.482305,-65.802132,0.96019692,3.801566,66.16021,-67.990211,0.97376094,0.59891905,RBSPB
2013-05-04 08:00:02,2013-05-04 08:59:44,66.564526,-63.337948,0.90397366,15.10476,66.482305,-65.802132,0.88958577,14.906603,66.16021,-67.990211,0.90649126,11.231562,66.564526,-63.337948,0.98116884,2.8172493,66.482305,-65.802132,0.96019692,3.801566,66.16021,-67.990211,0.97376094,0.59891905,RBSPB
2013-05-04 08:00:02,2013-05-04 08:59:44,66.564526,-63.337948,0.90397366,15.10476,66.482305,-65.802132,0.88958577,14.906603,66.16021,-67.990211,0.90649126,11.231562,66.564526,-63.337948,0.98116884,2.8172493,66.482305,-65.802132,0.96019692,3.801566,66.16021,-67.990211,0.97376094,0.59891905,RBSPB
2013-05-04 07:00:02,2013-05-04 07:59:44,66.039139,-58.509762,0.88851247,11.538579,66.419845,-60.846909,0.88727286,13.38941,66.563427,-63.254375,0.9036712,14.900041,66.039139,-58.509762,0.97610118,1.3459473,66.419845,-60.846909,0.96906551,1.7107979,66.563427,-63.254375,0.98103654,2.6371565,RBSPB
2013-05-04 09:00:00,2013-05-04 09:59:42,60.076062,-115.77618,0.91602356,0.68695785,62.485906,-113.72544,0.85646664,0.8767486,63.943758,-113.80659,0.83210684,0.29015529,60.076062,-115.77618,0.97525816,0.32468331,62.485906,-113.72544,0.95039414,0.66551422,63.943758,-113.80659,0.9585494,1.0192879,RBSPA
