stime,etime,mlat,mlon,mlt
2015-09-15 06:00:03,2015-09-15 06:59:45,80.1753,-52.4163,22.2366
2015-09-15 06:00:03,2015-09-15 06:59:45,79.9729,-54.6689,22.0864
2015-09-15 05:00:03,2015-09-15 05:59:45,79.7562,-56.8257,20.9457
2015-09-15 06:00:03,2015-09-15 06:59:45,79.5259,-58.8875,21.8052
2015-09-15 04:00:03,2015-09-15 04:59:45,81.758,-46.5699,20.6379
2015-09-15 05:00:03,2015-09-15 05:59:45,81.6309,-49.4618,21.4366
2015-09-15 06:00:03,2015-09-15 06:59:45,81.6309,-49.4618,22.4336
2015-09-15 06:00:03,2015-09-15 06:59:45,81.4837,-52.2529,22.2475
2015-09-15 06:00:03,2015-09-15 06:59:45,81.3177,-54.9369,22.0686
2015-09-15 05:00:03,2015-09-15 05:59:45,80.9334,-59.9697,20.7361
2015-09-16 00:02:00,2015-09-16 01:01:42,66.8913,-42.425,16.9522
2015-09-16 00:02:00,2015-09-16 01:01:42,66.4355,-41.3156,17.0261
2015-09-16 00:02:00,2015-09-16 01:01:42,66.6999,-41.3464,17.0241
2015-09-16 00:02:00,2015-09-16 01:01:42,66.8694,-41.6649,17.0029
2015-09-16 23:00:03,2015-09-16 23:59:45,69.7481,-41.0802,16.0241
2015-09-16 23:00:03,2015-09-16 23:59:45,68.173,-38.7668,16.1783
2015-09-16 23:00:03,2015-09-16 23:59:45,68.5801,-38.5141,16.1952
2015-09-16 23:00:03,2015-09-16 23:59:45,68.9831,-38.2562,16.2124
2015-09-16 23:00:03,2015-09-16 23:59:45,69.3825,-37.9924,16.2299
2015-09-16 23:00:03,2015-09-16 23:59:45,69.7788,-37.722,16.248
2015-09-16 23:00:03,2015-09-16 23:59:45,70.1721,-37.4445,16.2665
2015-09-18 03:00:03,2015-09-18 03:59:45,81.0303,-36.9835,20.303
2015-09-18 20:00:03,2015-09-18 20:59:45,80.7548,-28.2464,13.9294
2015-09-18 06:00:12,2015-09-18 06:59:54,60.5329,-59.5992,21.7821
2015-09-18 02:00:12,2015-09-18 02:59:54,63.9481,-42.4195,18.9367
2015-09-19 00:02:00,2015-09-19 01:01:42,80.9352,-39.7621,17.1362
2015-09-20 23:00:47,2015-09-21 00:00:29,73.1984,-62.5823,14.6091
2015-09-20 23:00:47,2015-09-21 00:00:29,67.9524,-60.8424,14.7251
2015-09-20 23:00:47,2015-09-21 00:00:29,72.9312,-55.0719,15.1098
2015-09-20 09:00:25,2015-09-20 10:00:07,55.2844,-9.80245,4.10334
2015-09-20 09:00:25,2015-09-20 10:00:07,55.614,-10.2827,4.07132
2015-09-20 16:01:05,2015-09-20 17:00:47,80.6857,-13.5379,10.7852
2015-09-20 15:01:05,2015-09-20 16:00:47,80.6936,-6.68362,10.1626
2015-09-20 15:01:05,2015-09-20 16:00:47,81.3128,-7.72327,10.0933
2015-09-20 15:01:05,2015-09-20 16:00:47,81.4404,-9.7137,9.96057
2015-09-20 09:00:23,2015-09-20 10:00:05,55.9504,-31.2435,2.67337
2015-09-20 10:00:23,2015-09-20 11:00:05,55.9504,-31.2435,3.68462
2015-09-20 09:00:23,2015-09-20 10:00:05,56.3536,-31.3645,2.66531
2015-09-20 10:00:23,2015-09-20 11:00:05,56.3536,-31.3645,3.67656
2015-09-20 09:00:23,2015-09-20 10:00:05,57.1489,-31.6005,2.64957
2015-09-20 12:00:23,2015-09-20 13:00:05,57.5421,-31.7166,5.61926
2015-09-20 12:00:23,2015-09-20 13:00:05,57.9329,-31.832,5.61157
2015-09-20 10:00:23,2015-09-20 11:00:05,58.3216,-31.947,3.63772
2015-09-20 12:00:23,2015-09-20 13:00:05,58.3216,-31.9469,5.6039
2015-09-20 10:00:23,2015-09-20 11:00:05,58.7084,-32.0619,3.63006
2015-09-20 11:00:23,2015-09-20 12:00:05,59.0935,-32.1769,4.62201
2015-09-20 12:00:23,2015-09-20 13:00:05,59.4771,-32.2923,5.58088
2015-09-20 11:00:23,2015-09-20 12:00:05,59.8594,-32.4083,4.60658
2015-09-20 09:00:23,2015-09-20 10:00:05,56.4136,-30.4351,2.72727
2015-09-20 10:00:23,2015-09-20 11:00:05,56.4136,-30.4351,3.73851
2015-09-20 10:00:23,2015-09-20 11:00:05,57.2192,-30.5674,3.7297
2015-09-20 10:00:23,2015-09-20 11:00:05,57.6174,-30.6298,3.72553
2015-09-20 10:00:23,2015-09-20 11:00:05,58.0132,-30.6903,3.7215
2015-09-20 10:00:23,2015-09-20 11:00:05,58.4068,-30.7492,3.71758
2015-09-20 12:00:23,2015-09-20 13:00:05,58.7984,-30.8067,5.67992
2015-09-20 09:00:23,2015-09-20 10:00:05,56.016,-28.5879,2.85041
2015-09-20 09:00:23,2015-09-20 10:00:05,56.8407,-28.5226,2.85477
2015-09-20 10:00:23,2015-09-20 11:00:05,56.8407,-28.5226,3.86601
2015-09-20 10:00:23,2015-09-20 11:00:05,57.2469,-28.4817,3.86874
2015-09-20 10:00:23,2015-09-20 11:00:05,58.0501,-28.3856,3.87515
2015-09-20 11:00:23,2015-09-20 12:00:05,58.8433,-28.2724,4.88231
2015-09-20 10:00:23,2015-09-20 11:00:05,59.237,-28.2099,3.88686
2015-09-20 11:00:23,2015-09-20 12:00:05,59.237,-28.2099,4.88648
2015-09-20 11:00:23,2015-09-20 12:00:05,59.6289,-28.1435,4.8909
2015-09-20 10:00:23,2015-09-20 11:00:05,58.8452,-28.3851,3.87518
2015-09-20 10:00:23,2015-09-20 11:00:05,58.8034,-27.121,3.95946
2015-09-20 11:00:23,2015-09-20 12:00:05,59.5748,-26.6575,4.98997
2015-09-20 10:00:23,2015-09-20 11:00:05,57.4592,-25.6698,4.0562
2015-09-20 11:00:23,2015-09-20 12:00:05,58.2133,-25.0018,5.10035
2015-09-21 23:00:03,2015-09-21 23:59:45,79.2546,-38.2583,16.2202
2015-09-21 23:00:03,2015-09-21 23:59:45,79.6237,-38.0721,16.2326
2015-09-21 04:02:00,2015-09-21 05:01:42,64.2569,-62.2024,19.6637
2015-09-21 01:02:00,2015-09-21 02:01:42,66.2163,-58.9948,16.8612
2015-09-21 03:02:00,2015-09-21 04:01:42,58.7083,-32.0617,20.6804
2015-09-21 04:02:00,2015-09-21 05:01:42,59.477,-32.2921,21.6577
2015-09-22 00:02:00,2015-09-22 01:01:42,76.9008,-43.6316,16.8844
2015-09-22 00:02:00,2015-09-22 01:01:42,77.3996,-39.051,17.1898
2015-09-22 00:02:00,2015-09-22 01:01:42,77.6174,-29.1222,17.8517
2015-10-04 07:00:50,2015-10-04 08:00:32,81.781,-76.2195,21.8013
2015-10-04 08:00:50,2015-10-04 09:00:32,81.781,-76.2195,22.7824
2015-10-04 07:00:50,2015-10-04 08:00:32,82.6316,-74.9521,21.8858
2015-10-04 07:00:50,2015-10-04 08:00:32,83.0524,-74.2089,21.9354
2015-10-04 07:00:50,2015-10-04 08:00:32,83.4703,-73.3744,21.991
2015-10-04 07:00:50,2015-10-04 08:00:32,83.885,-72.4302,22.0539
2015-10-04 07:00:50,2015-10-04 08:00:32,84.2966,-71.3533,22.1257
2015-10-04 07:00:50,2015-10-04 08:00:32,84.7045,-70.1139,22.2084
2015-10-04 07:00:50,2015-10-04 08:00:32,80.8861,-74.2453,21.9329
2015-10-04 08:00:50,2015-10-04 09:00:32,81.7344,-72.6284,23.0218
2015-10-04 07:00:50,2015-10-04 08:00:32,84.558,-63.3192,22.6613
2015-10-04 07:00:50,2015-10-04 08:00:32,84.9371,-61.1856,22.8036
2015-10-04 07:00:50,2015-10-04 08:00:32,81.8382,-64.4282,22.5874
2015-10-04 06:00:38,2015-10-04 07:00:20,82.5652,-23.247,0.332397
2015-10-04 06:00:38,2015-10-04 07:00:20,84.715,-23.6428,0.306014
2015-10-04 06:00:38,2015-10-04 07:00:20,85.0703,-23.7415,0.29943
2015-10-04 06:00:38,2015-10-04 07:00:20,83.7884,-8.33186,1.32674
2015-10-04 16:01:05,2015-10-04 17:00:47,73.26,-80.285,6.47133
2015-10-04 16:01:05,2015-10-04 17:00:47,72.1506,-82.6241,6.31539
2015-10-04 03:30:24,2015-10-04 04:30:06,58.048,-28.3821,21.467
2015-10-04 03:30:23,2015-10-04 04:30:05,57.231,-28.0333,21.4899
2015-10-05 12:00:45,2015-10-05 13:00:27,83.8849,-72.4281,3.0585
2015-10-05 07:00:45,2015-10-05 08:00:27,76.2666,-79.3032,21.602
2015-10-05 12:00:45,2015-10-05 13:00:27,84.1711,-65.1751,3.54204
2015-10-05 12:00:45,2015-10-05 13:00:27,84.5579,-63.317,3.66591
2015-10-05 12:00:45,2015-10-05 13:00:27,84.9369,-61.1833,3.80816
2015-10-05 10:00:32,2015-10-05 11:00:14,76.726,-22.6781,4.35584
2015-10-05 10:00:32,2015-10-05 11:00:14,77.264,-22.739,4.35179
2015-10-05 10:00:32,2015-10-05 11:00:14,75.988,-20.3496,4.51108
2015-10-05 11:00:32,2015-10-05 12:00:14,75.988,-20.3496,5.53026
